GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-random,com.namics.commons.random.generator,RandomGeneratorFactory,10,129,3,15,3,35,4,12,1,6
java-random,com.namics.commons.random.support,SimpleIndexedPropertyDescriptor,128,78,15,1,29,23,17,7,9,7
java-random,com.namics.commons.random.support,ExtendedBeanInfo.new Comparator() {...},6,6,0,0,1,1,1,1,1,1
java-random,com.namics.commons.random.support,BarcodeUtils,3,90,0,8,1,16,1,6,1,2
java-random,com.namics.commons.random.support,PropertyDescriptorUtils,288,111,56,16,45,35,37,5,3,3
java-random,com.namics.commons.random.support,Names,12,149,0,2,6,27,4,9,4,8
java-random,com.namics.commons.random.support,BeanUtils,12,24,4,2,5,6,4,2,1,2
java-random,com.namics.commons.random.support,LoremIpsum,8,43,0,4,3,13,1,5,1,3
java-random,com.namics.commons.random.support,PropertyDescriptorComparator,0,43,0,6,0,10,0,5,0,2
java-random,com.namics.commons.random.support,SimplePropertyDescriptor,16,84,1,1,5,20,3,9,2,9
java-random,com.namics.commons.random.support,ExtendedBeanInfo,136,223,27,27,24,42,25,16,7,7
java-random,com.namics.commons.random.support,Utils,3,47,2,8,1,7,3,4,1,1
java-random,com.namics.commons.random,RandomData,493,652,31,53,89,142,55,57,32,38
java-random,com.namics.commons.random.support.reflections,JnilibIgnoringUrlType,0,8,0,0,0,2,0,2,0,2
java-random,com.namics.commons.random.support.reflections,IgnoringUrlType.new Vfs.Dir() {...},13,0,0,0,4,0,4,0,4,0
java-random,com.namics.commons.random.support.reflections,IgnoringUrlType,5,3,0,0,1,1,1,1,1,1
java-random,com.namics.commons.random.support.reflections,ReflectionsInitializer,3,5,0,0,1,2,1,1,1,1
java-random,com.namics.commons.random.generator.basic,DoubleGenerator,0,18,0,0,0,3,0,3,0,3
java-random,com.namics.commons.random.generator.basic,FloatGenerator,0,18,0,0,0,3,0,3,0,3
java-random,com.namics.commons.random.generator.basic,LocalDateGenerator,13,11,0,0,3,2,1,2,1,2
java-random,com.namics.commons.random.generator.basic,LocaleGenerator,0,15,0,0,0,3,0,3,0,3
java-random,com.namics.commons.random.generator.basic,IntegerGenerator,0,18,0,0,0,3,0,3,0,3
java-random,com.namics.commons.random.generator.basic,TreeSetGenerator,0,19,0,0,0,3,0,3,0,3
java-random,com.namics.commons.random.generator.basic,ArrayListGenerator,0,35,0,0,0,3,0,3,0,3
java-random,com.namics.commons.random.generator.basic,LongGenerator,0,18,0,0,0,3,0,3,0,3
java-random,com.namics.commons.random.generator.basic,CalendarGenerator,0,21,0,0,0,5,0,3,0,3
java-random,com.namics.commons.random.generator.basic,LocalTimeGenerator,15,11,0,0,3,2,1,2,1,2
java-random,com.namics.commons.random.generator.basic,DateGenerator,0,20,0,0,0,3,0,3,0,3
java-random,com.namics.commons.random.generator.basic,BigDecimalGenerator,0,14,0,0,0,3,0,3,0,3
java-random,com.namics.commons.random.generator.basic,LocalDateTimeGenerator,0,26,0,0,0,5,0,3,0,3
java-random,com.namics.commons.random.generator.basic,JodaPeriodGenerator,44,11,0,0,10,2,1,2,1,2
java-random,com.namics.commons.random.generator.basic,ZonedDateTimeGenerator,0,31,0,0,0,5,0,3,0,3
java-random,com.namics.commons.random.generator.basic,TreeMapGenerator,30,42,3,1,6,8,2,4,0,4
java-random,com.namics.commons.random.generator.basic,HashSetGenerator,0,23,0,0,0,3,0,3,0,3
java-random,com.namics.commons.random.generator.basic,ByteGenerator,0,19,0,0,0,3,0,3,0,3
java-random,com.namics.commons.random.generator.basic,DateTimeGenerator,0,40,0,0,0,7,0,3,0,3
java-random,com.namics.commons.random.generator.basic,StringGenerator,56,395,60,98,13,100,61,22,1,3
java-random,com.namics.commons.random.generator.basic,UriGenerator,23,11,0,0,3,2,1,2,1,2
java-random,com.namics.commons.random.generator.basic,BigIntegerGenerator,4,11,0,0,1,2,1,2,1,2
java-random,com.namics.commons.random.generator.basic,UrlGenerator,22,11,0,0,3,2,1,2,1,2
java-random,com.namics.commons.random.generator.basic,HashMapGenerator,0,72,0,4,0,14,0,6,0,4
java-random,com.namics.commons.random.generator.basic,AbstractGenericCollectionGenerator,0,41,0,4,0,9,0,4,0,2
java-random,com.namics.commons.random.generator.basic,BooleanGenerator,0,18,0,0,0,3,0,3,0,3
